Threshold,tb_region0,tb_region1,tb_region2,tb_region3,bb_region0,bb_region1,bb_region2,bb_region3
15,97,104,105,96,93,91,98,81
16,95,102,103,94,91,89,96,78
17,93,100,102,92,89,87,94,75
18,91,98,100,91,87,85,92,72
19,90,96,98,89,85,83,90,69
20,88,95,96,87,84,82,88,66
21,86,93,95,86,82,80,86,63
22,84,91,93,84,80,78,84,59
23,83,89,91,82,78,76,82,56
24,81,87,89,81,76,74,80,53
25,79,86,88,79,74,72,78,50
26,77,84,86,77,72,70,76,47
27,76,82,84,75,70,68,74,44
28,74,80,83,74,68,67,72,41
29,72,78,81,72,66,65,70,38
30,70,77,79,70,65,63,68,35
