Threshold,tb_region0,tb_region1,tb_region2,tb_region3,bb_region0,bb_region1,bb_region2,bb_region3
15,97,100,102,96,98,92,91,80
16,96,99,100,94,96,90,89,77
17,94,97,98,92,94,88,86,74
18,92,95,96,91,92,87,84,71
19,90,93,94,89,91,85,82,68
20,88,91,92,87,89,83,80,64
21,86,89,90,85,87,81,78,61
22,85,88,89,83,85,79,75,58
23,83,86,87,81,84,77,73,55
24,81,84,85,79,82,75,71,52
25,79,82,83,78,80,73,69,49
26,77,80,81,76,78,71,67,45
27,75,78,79,74,77,69,64,42
28,73,77,77,72,75,67,62,39
29,72,75,75,70,73,65,60,36
30,70,73,73,68,71,63,58,33
