Threshold,tb_region0,tb_region1,tb_region2,tb_region3,bb_region0,bb_region1,bb_region2,bb_region3
15,92,97,100,92,89,87,92,79
16,91,95,99,91,87,86,91,77
17,89,94,97,89,86,84,89,74
18,88,93,96,88,84,83,87,72
19,86,91,94,86,83,81,86,70
20,85,90,93,85,81,80,84,68
21,83,88,91,83,80,78,83,66
22,82,87,90,82,78,77,81,64
23,80,85,88,80,77,75,80,62
24,79,84,87,79,75,74,78,60
25,77,82,85,77,74,72,77,57
26,76,81,84,76,72,71,75,55
27,75,79,82,74,70,69,74,53
28,73,78,81,73,69,67,72,51
29,72,77,79,71,67,66,70,49
30,70,75,78,70,66,64,69,47
